,engineSize,fuelType,mileage,model,mpg,price,tax,transmission,year
0,1.4,Petrol,15735, A1,55.4,12500,150,Manual,2017
1,2.0,Diesel,36203, A6,64.2,16500,20,Automatic,2016
2,1.4,Petrol,29946, A1,55.4,11000,30,Manual,2016
3,2.0,Diesel,25952, A4,67.3,16800,145,Automatic,2017
4,1.0,Petrol,1998, A3,49.6,17300,145,Manual,2019
5,1.4,Petrol,32260, A1,58.9,13900,30,Automatic,2016
6,2.0,Diesel,76788, A6,61.4,13250,30,Automatic,2016
7,2.0,Diesel,75185, A4,70.6,11750,20,Manual,2016
8,1.4,Petrol,46112, A3,60.1,10200,20,Manual,2015
9,1.4,Petrol,22451, A1,55.4,12000,30,Manual,2016
10,1.4,Petrol,28955, A3,58.9,16100,145,Manual,2017
